playerID,career_war
hayesvo01,29.9
runnepe01,29.9
ennisde01,29.8
millwke01,29.8
podrejo01,29.8
troskha02,29.8
wanerll01,29.8
garneph01,29.7
niekrjo01,29.7
roepr01,29.7
grissma02,29.6
mcbridi01,29.6
millebi02,29.6
schumha02,29.6
roberbr01,29.5
schmija01,29.5
crawfbr01,29.4
sainjo01,29.4
zimmech01,29.4
chapmra01,29.3
halleto01,29.3
lewisbu01,29.3
piersji01,29.3
tettlmi01,29.3
drabedo01,29.2
mitchke01,29.2
ozunama01,29.2
ruethdu01,29.2
tapanke01,29.2
werthja01,29.2
castilu03,29.1
hendrge01,29.1
klingjo01,29.1
rolfere01,29.1
cainma01,29.0
kauffbe01,29.0
martiti02,29.0
winteni01,29.0
crispco01,28.9
jacobba01,28.9
kindeel01,28.9
phillbr01,28.9
seitzke01,28.9
smithle02,28.9
alfoned01,28.8
anderjo02,28.8
bailebo01,28.8
burneaj01,28.8
donlimi01,28.8
nehfar01,28.8
bluegos01,28.7
carpema01,28.7
jurgebi01,28.7
larkihe01,28.7
peterga01,28.7
burdele01,28.6
shortch02,28.6
soriaal01,28.6
valoel01,28.6
wellsve01,28.6
baylodo01,28.5
fernaal01,28.5
lindsfr01,28.5
pendlte01,28.4
roweja01,28.4
gonzagi01,28.3
leeca01,28.3
lezcasi01,28.3
mccarti01,28.3
meadole01,28.3
meusebo01,28.3
morame01,28.3
puhlte01,28.3
watsobo01,28.3
mcdanli01,28.2
washbja01,28.2
whitero02,28.2
hamiljo03,28.1
hamptmi01,28.1
hardyjj01,28.1
konerpa01,28.1
crandde01,28.0
hoffmtr01,28.0
menkede01,28.0
russere01,28.0
spande01,28.0
steinte01,28.0
crowdal01,27.9
mcraeha01,27.9
mogrige01,27.9
mooremi01,27.9
smallro02,27.9
strunam01,27.9
boyercl02,27.8
jenseja01,27.8
mcdowja01,27.8
meekijo01,27.8
templga01,27.8
contrwi01,27.7
